名称,日期,类型,角色,导演,编剧,改编,制片厂,链接,剧集,作曲,其他下载
叛国者,,,,,,,,,,,"http://v.youku.com/v_show/id_XMjc2NzU3OTY3Mg==.html, http://player.youku.com/player.php/sid/XMjc2NzU3OTY3Mg==/v.swf"
小院,,,,,,,,,,,
相思豆,,,,,,,,,,,
梨园传奇,,,,,,,峨嵋电影制片厂 ,,,,
弯弯的石径,1982.10,,“骄傲的公主”秦小婉,,,,峨嵋电影制片厂 ,,,,
九马疑踪,,,,,,,,,,,
远离人群的地方,,,,,,,,,,,
骆驼草,,,,,,,,,,,
金房子,1983.7,,喜爱歌唱的女青年文静,,,,中国展望出版社、文化部录音录像所,,,,
二十年后再相会,,,船舶监造师诸晖,石晓华,,,上海电影制片厂,https://baike.baidu.com/item/%E4%BA%8C%E5%8D%81%E5%B9%B4%E5%90%8E%E5%86%8D%E7%9B%B8%E4%BC%9A/15927?fr=aladdin,,,
肖尔布拉克,,,知青叶娟,包起成 ,,,上海电影制片厂,,,,
西游记之趣经女儿国,,,女儿国国王,杨洁,,,中央电视台及其中国电视剧制作中心,https://baike.baidu.com/item/%E8%A5%BF%E6%B8%B8%E8%AE%B0/6786341?fr=aladdin,,,
远离战争年代,,,儿媳、歌剧演员文雁,胡玫,,,八一电影制片厂 ,https://baike.baidu.com/item/%E8%BF%9C%E7%A6%BB%E6%88%98%E4%BA%89%E5%B9%B4%E4%BB%A3/12771558?fr=aladdin,,James Last / Puccini,
凯旋在子夜,1986.10,,野战救护所护士长江曼,尤小刚,韩静霆,,北京电视艺术中心,https://baike.baidu.com/item/%E5%87%AF%E6%97%8B%E5%9C%A8%E5%AD%90%E5%A4%9C/56662,,,
逃港者,,,知青、逃港幸存者刘莺,,,,,https://baike.baidu.com/item/%E9%80%83%E6%B8%AF%E8%80%85,,,
白栅栏,,,护士乔克琳,,,,,,,,
别无选择,,,教官邢栋的妻子、外科医生李菁,,,,,https://baike.baidu.com/item/%E5%88%AB%E6%97%A0%E9%80%89%E6%8B%A9/8011642,,,
小雪,,,老师欧鹿,戚健,戚健、姜凌,,长春电影制片厂,"http://www.1905.com/mdb/film/2215816/
https://baike.baidu.com/item/%E5%B0%8F%E9%9B%AA/1022169",,,
台北女人,,,台北护士安娜,张军钊,,汪笨湖小说《妈妈的手》,,,,,
戏剧人生,,,话剧演员周泱,,,,,,,邹野,
永远的门,,,林雪莹,,,,文化部,,,,
火浴,,,台湾女企业家康曼月,,,,,,,,
遭遇昨天,,,知青、县委书记妻子、县经委主任刘琳,李源,,,陕西电视台,,,,
啊，妈妈,,,黄月华,,,,,,,,
大秦之腔,,,闫大少爷偏房双池,于庚庚,,,,https://baike.baidu.com/item/%E5%A4%A7%E7%A7%A6%E8%85%94/548770?fr=aladdin,,,
家事风云,,,,,,,,,,,
共和国之旗,,,项佩瑜,,,,紫禁城影业公司,,,,
走过柳源,,,寒梅,安健、刘书宁 ,,,"长春电视台、中央电视台影视部、武汉电视剧中心制作
中国电视艺术家节目发行中心、中国影视音像交流协会节目发行中心发行",https://baike.baidu.com/item/%E8%B5%B0%E8%BF%87%E6%9F%B3%E6%BA%90,,,
洪峰抢险,,,记者王军,,,,,,,,
你是我的生命（滴血背后）,,,胡玉珊,何伟,赵化南·余雍和,,,,,,
和平卫士,,,,,,,,,,,
光荣之旅,,,,,,,,,,,
永不放弃,,,,,,,,,,,
朝天门,,,,,,,,,,,
情长路更长,,,,,,,,,,,
红与黑2000,,,女企业家、毒枭穆佳,,,,,,,,
兄弟,,,,,,,,,,,
谁可相依,,,,,,,,,,,
桐籽花开,,,,,,,,,,,
我心永远,,,,,,,,,,,
花开也有声,,,,,,,,,,,
命运配方,,,,,,,,,,,
风雨中国心,,,傅抱石夫人,,,,,,,,
让我们记住,,,,,,,,,,,
龙票,,,,,,,,,,,
第一次亲密接触,,,,,,,,,,,
月上海,,,,,,,,,,,
底牌,,,,,,,,,,,
民族英雄马本斋,,,马本斋母亲,龚艺群,,,,https://baike.baidu.com/item/%E6%B0%91%E6%97%8F%E8%8B%B1%E9%9B%84%E9%A9%AC%E6%9C%AC%E6%96%8B/3716682?fr=aladdin,,,
风雨西关,,,谢家母亲、封建家长谢卢氏,徐耿,,,,,,,
春天花会开,,,,,,,,,,,
商贾将军,,,,,,,,,,,
那年那月,,,,,,,,,,,
临界婚姻,,,,,,,,,,,
撕开你的伤口,,,,,,,,,,,
十月怀胎,,,,,,,,,,,
非亲兄弟,,,,,,,,,,,
中国家庭421,,,,,,,,,,,
我要跳舞,,,林校长,王晨,,,,,,,
山魂女,,,山里女人王雪,,,,,"http://www.1905.com/mdb/film/57847/scenario/?fr=mdbypsy_jq
https://baike.baidu.com/item/%E5%B1%B1%E9%AD%82%E5%A5%B3",,,
我在天堂等你,,,进藏十八军运输队长白雪梅（老年）,,,,,https://baike.baidu.com/item/我在天堂等你/17300983,,,
妈妈再爱我一次,,,,,,,,,,,
家有爹娘1,,,企业家、王家儿媳（离异）刘颖,,,,,,,,
女人香,,,,,,,,,,,
雪在烧,,,,,,,,,,,
和平使命,,,,,,,,,,,
静静的白桦林,,,卫生所所长达兰,,,,,,,,
下辈子做你的女人,,,,,,,,,,,
贺龙传奇,,,江青,,,,,,,,
家有爹娘2,,,企业家、王家儿媳（离异）刘颖,,,,,,,,
初恋,,,,,,,,,,,
锣鼓巷,,,,,,,,,,,
你到底要什么,,,,,,,,,,,
重案六组4,,,企业家、“政治掮客”陈雪,,,,,,,,
独家披露,,,,,,,,,,,
硝烟背后的战争,,,,,,,,,,,
俺爹俺娘,,,,,,,,,,,
青果巷,,,乱针绣大师杨紫云,徐耿,,,,https://baike.baidu.com/item/%E9%9D%92%E6%9E%9C%E5%B7%B7/5433513,,邹野,
遍地阳光,,,电力总工,,,,,,,,
恋爱相对论,,,,,,,,,,,
